Row Names,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc
mvtec_screw,0.6919450707112114,0.6798052340122659,0.36415774002703055
mvtec_pill,0.7444080741953083,0.8091202791148397,0.33980022686231315
mvtec_capsule,0.7550857598723575,0.7294834382617504,0.5453182223584806
mvtec_carpet,0.9450240770465489,0.9268753326900399,0.6099290957673414
mvtec_grid,0.7042606516290727,0.568882811530299,0.2098526296382782
mvtec_tile,0.9632034632034632,0.812072466517713,0.7642471290676001
mvtec_wood,0.9885964912280701,0.7703070334704958,0.47014914014184805
mvtec_zipper,0.9104516806722689,0.8497531585639049,0.5713772616730799
mvtec_cable,0.8523238380809595,0.7953184630336736,0.48894554798328715
mvtec_toothbrush,0.7222222222222222,0.8087116620732953,0.5099413050662364
mvtec_transistor,0.8233333333333334,0.7692355738272524,0.5377210320116225
mvtec_metal_nut,0.855327468230694,0.8173653132925707,0.44128801776877685
mvtec_bottle,0.9658730158730159,0.9130422594336894,0.60017411697744
mvtec_hazelnut,0.8335714285714286,0.6774528108447964,0.5231859851258991
mvtec_leather,0.9881114130434783,0.9272458258464663,0.6854467774317979
Mean,0.8495825325275621,0.7903114441675368,0.5107689485267355
